Isin,Name,Asset,Region,Volatility,Strategy
IE00BJ5JPG56,iShares MSCI China UCITS ETF USD (Acc),Equity,,26.71,Long-only
LU0959211243,Amundi S&P 500 II UCITS ETF EUR Hedged Dist,Equity,,17.48,Long-only
DE000ETFL573,Deka MSCI USA Climate Change ESG UCITS ETF,Equity,,20.0,Long-only
LU1681041114,Amundi Floating Rate Euro Corporate ESG UCITS ETF EUR (C),Bonds,World,0.5,Long-only
LU1650489385,Amundi Euro Government Bond 10-15Y UCITS ETF Acc,Bonds,Europe,10.64,Long-only
LU1834986900,Amundi STOXX Europe 600 Healthcare UCITS ETF Acc,Equity,Europe,13.96,Long-only
IE00BCHWNT26,Xtrackers MSCI USA Financials UCITS ETF 1D,Equity,,21.16,Long-only
IE00BK5BQX27,Vanguard FTSE Developed Europe UCITS ETF (EUR) Accumulating,Equity,Europe,14.23,Long-only
LU1650491282,Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc,Bonds,Europe,8.2,Long-only
LU1829219390,Amundi Euro Stoxx Banks UCITS ETF Acc,Equity,Europe,25.96,Long-only
IE00B3VTML14,iShares Euro Government Bond 3-7yr UCITS ETF (Acc),Bonds,Europe,5.03,Long-only
IE00B3F81K65,iShares Global Government Bond UCITS ETF USD (Dist),Bonds,World,9.41,Long-only
LU0629460832,UBS ETF (LU) MSCI Pacific Socially Responsible UCITS ETF (USD) A-dis,Equity,Asia & Pacific,16.65,Long-only
LU0524480265,Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,Bonds,Europe,7.17,Long-only
IE00B6YX5F63,SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF,Bonds,Europe,1.86,Long-only
JE00BN2CJ301,WisdomTree Core Physical Gold,Precious Metals,,14.7,Long-only
DE000A27Z304,ETC Group Physical Bitcoin,Cryptocurrencies,,54.04,Long-only
LU0643975591,Xtrackers II Eurozone Government Bond UCITS ETF 1D,Bonds,Europe,7.12,Long-only
IE00B7LW6Y90,iShares Italy Government Bond UCITS ETF EUR (Dist),Bonds,,7.76,Long-only
IE00B44CGS96,iShares US Aggregate Bond UCITS ETF (Dist),Bonds,World,10.16,Long-only
IE00BM9GRN41,Fidelity Sustainable Global Corporate Bond Paris-Aligned Multifactor UCITS ETF ACC-GBP (hedged),Bonds,World,12.06,"Long-only, Active"
DE000A0D8QZ7,iShares STOXX Europe Small 200 UCITS ETF (DE),Equity,Europe,17.77,Long-only
LU1169821458,UBS ETF (LU) MSCI United Kingdom UCITS ETF (hedged to USD) A-acc,Equity,,13.39,Long-only
IE00BF2QSQ20,iShares Edge MSCI USA Quality Factor UCITS ETF USD (Dist),Equity,,19.46,Long-only
IE00B1FZSD53,iShares GBP Index-Linked Gilts UCITS ETF,Bonds,,24.45,Long-only
IE00BK72HJ67,UBS ETF (IE) MSCI World Socially Responsible UCITS ETF (USD) A-acc,Equity,World,16.83,Long-only
IE00BYZK4883,iShares Digitalisation UCITS ETF,Equity,World,21.54,Long-only
XS2115336336,HANetf The Royal Mint Responsibly Sourced Physical Gold ETC,Precious Metals,,14.56,Long-only
LU0489337690,Xtrackers FTSE EPRA/NAREIT Developed Europe Real Estate UCITS ETF 1C,Real Estate,Europe,23.77,Long-only
IE00BHZRR030,Franklin FTSE Korea UCITS ETF,Equity,,22.46,Long-only
IE00BF1QPH33,SPDR Bloomberg Global Aggregate Bond UCITS ETF USD Hedged,Bonds,World,8.97,Long-only
IE00B3VWMM18,iShares MSCI EMU Small Cap UCITS ETF (Acc),Equity,Europe,16.83,Long-only
IE00B53H0131,UBS ETF (IE) CMCI Composite SF UCITS ETF (USD) A-acc,Commodities,,15.48,Long-only
DE0006289309,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),Equity,Europe,25.35,Long-only
IE00BG47KJ78,Vanguard Global Aggregate Bond UCITS ETF USD Hedged Accumulating,Bonds,World,9.3,Long-only
LU2197908721,Amundi Nasdaq-100 II UCITS ETF Dist,Equity,,24.33,Long-only
FR0010429068,Amundi MSCI Emerging Markets III UCITS ETF EUR Acc,Equity,Emerging Markets,15.3,Long-only
LU1861132840,Amundi MSCI Robotics & AI ESG Screened UCITS ETF Acc,Equity,World,17.98,Long-only
DE000ETFL029,Deka EURO STOXX 50 UCITS ETF,Equity,Europe,17.67,Long-only
LU1681045453,Amundi MSCI Emerging Markets UCITS ETF USD,Equity,Emerging Markets,14.66,Long-only
IE00B5L01S80,HSBC FTSE EPRA NAREIT Developed UCITS ETF USD,Real Estate,World,16.67,Long-only
GB00BLD4ZL17,CoinShares Physical Bitcoin,Cryptocurrencies,,53.48,Long-only
